id;incident_id;description;discovery_date;severity;status;responsible;mitigation_date
1;10920;Ball Persevering Plastic;2024-10-08;CRITICAL;visualize;Computer bandwidth;2024-10-09
2;68750;Benin Falkland Islands (Malvinas);2024-10-09;CRITICAL;Research Gourde US Dollar;AGP;2024-10-09
3;87440;violet Handmade Granite Ball;2024-10-08;MEDIUM;Jewelery Intelligent;Cliffs;2024-10-09
4;18689;primary;2024-10-09;CRITICAL;deposit Congo Principal;Avon;2024-10-08
5;23798;platforms;2024-10-08;HIGH;Specialist Direct;Exclusive Pa'anga;2024-10-09
6;50682;SMS;2024-10-08;LOW;Versatile United States Minor Outlying Islands Moroccan Dirham;Towels methodical;2024-10-09
7;8137;Integration alarm;2024-10-08;LOW;e-markets Home;Reverse-engineered Salad;2024-10-08
8;70609;Berkshire Response Progressive;2024-10-08;CRITICAL;vortals Investment Account;Wooden;2024-10-09
9;8126;Dalasi Croatian Kuna firewall;2024-10-08;CRITICAL;Tasty cyan withdrawal;installation strategic deposit;2024-10-09
10;95499;Reduced Sleek;2024-10-09;LOW;paradigms budgetary management Swiss Franc;bleeding-edge Senior input;2024-10-08
